_id,value
SANTO DOMINGO,162
BURITICA,35
SONSON,233
ZARAGOZA,656
CARACOLI,1324
SANTA BARBARA,266
CAÑASGORDAS,244
TOLEDO,39
GUADALUPE,127
PUERTO NARE,466
TARAZA,1322
YONDO,258
REMEDIOS,645
BETULIA,21
SANTA ROSA DE OSOS,3
PUERTO BERRIO,534
CAUCASIA,136
MACEO,4200
SAN ANDRES,141
EBEJICO,125
SEGOVIA,443
SANTAFE DE ANTIOQUIA,16
TITIRIBI,42
AMALFI,2043
CAMPAMENTO,98
ABEJORRAL,15
SAN RAFAEL,91
VALPARAISO,18
CONCORDIA,20
ANORI,635
SAN ROQUE,316
TARSO,114
BRICEÑO,87
TAMESIS,556
HELICONIA,6
SAN LUIS,778
URAMITA,355
APARTADO,4212
YOLOMBO,356
DABEIBA,713
CHIGORODO,1211
TURBO,5283
SAN PEDRO DE URABA,1107
ITUANGO,795
SAN CARLOS,555
COCORNA,145
SAN FRANCISCO,888
ARGELIA,70
NECHI,20
VALDIVIA,1136
NARIÑO,1147
SAN JUAN DE URABA,1170
EL BAGRE,807
FRONTINO,168
YARUMAL,87
CAREPA,902
YALI,1492
CACERES,2584
NECOCLI,3642
VEGACHI,2454
CISNEROS,16
MUTATA,473
CARMEN DE VIBORAL,0
SABANALARGA,6
ARBOLETES,735
PUERTO TRIUNFO,240
