codane,nombre,departamento,municipio,naturaleza,ubicacion,genero,punt_total_lectura,punt_total_matematicas,punt_total_naturales,punt_total_sociales,punt_total_ingles,punt_total_global
411769000895,LIC BOSTON,11,11001,NO OFICIAL,URBANO,MIXTO,60.733333333333334,59.65,56.11666666666667,54.06666666666667,75.76666666666667,295.1166666666667
311001100993,COLEGIO ARCA INTERNACIONAL BILINGÜE - SEDE PRINCIPAL,11,11001,NO OFICIAL,URBANO,MIXTO,60.2,63.8,58,61.2,77.6,310.2
308001074789,AMERICAN SCHOOL,8,8573,NO OFICIAL,URBANO,MIXTO,57.76923076923077,54.61538461538461,55.30769230769231,51.69230769230769,76.6923076923077,282.53846153846155
376001043234,TERRA INSTITUTI - SEDE PRINCIPAL,76,76001,NO OFICIAL,URBANO,MIXTO,46.38461538461539,39.23076923076923,39,36.69230769230769,35.76923076923077,199.84615384615384
366001004926,COL LIC FRANCES DE PEREIRA,66,66001,NO OFICIAL,RURAL,MIXTO,68.4390243902439,68.58536585365853,65.60975609756098,64.41463414634147,78.7560975609756,338.4390243902439
376001041523,LICEO MAYOR TECNICO DEL VALLE,76,76001,NO OFICIAL,URBANO,MIXTO,49.111111111111114,47.666666666666664,42.44444444444444,44,39.44444444444444,226.44444444444446
376520005862,LIC CAMPESTRE CRECER,76,76520,NO OFICIAL,URBANO,MIXTO,64.1,63.9,63.4,59.6,73.1,317.7
347001051105,COLEGIO BURECHE,47,47001,NO OFICIAL,URBANO,MIXTO,65.61363636363636,66.25,62.27272727272727,64.77272727272727,83.27272727272727,330.8181818181818
376001015923,COLEGIO SAN JOSÉ,76,76001,NO OFICIAL,URBANO,FEMENINO,60.86666666666667,58.666666666666664,57.333333333333336,54.86666666666667,64.4,292.1333333333333
308001101153,COLEGIO BRITANICO INTERNACIONAL,8,8573,NO OFICIAL,URBANO,MIXTO,64.41666666666667,68.06944444444444,65.73611111111111,63.34722222222222,82.91666666666667,333.72222222222223
376520000208,HERMANAS BETHLEMITAS PROV. DEL SAGRADO CORAZON DE JESUS,76,76520,NO OFICIAL,URBANO,FEMENINO,68.60606060606061,68.15151515151516,65.27272727272727,66.84848484848484,73.54545454545455,338.6363636363636
425126047909,COL DAVID EISENHOWER,25,25126,NO OFICIAL,RURAL,MIXTO,41,49,43.5,41.5,70,221
305001003688,COLEGIO CRISTOBAL COLON THE COLUMBUS SCHOOL,5,5266,NO OFICIAL,RURAL,MIXTO,61.65151515151515,66.12121212121212,59.666666666666664,57.74242424242424,83.31818181818181,314.95454545454544
305001015503,COLEGIO LEONARDO DA VINCI,5,5266,NO OFICIAL,URBANO,MIXTO,71.66666666666667,74.33333333333333,70.33333333333333,71.66666666666667,86,365.5
376001022580,LICEO NUESTRA SEÑORA DE LOURDES,76,76001,NO OFICIAL,URBANO,MIXTO,54.125,53.875,53.25,53.375,54.875,268.75
