colegio,punt_lectura,punt_matematicas,punt_naturales,punt_sociales,punt_ingles,punt_global
CORP CULT COL ALEMAN,80,79,70,77,100,392
COLEGIO CLARETIANO SANTA DOROTEA,59,48,51,40,48,247
COLEGIO BENNETT,61,57,53,61,81,299
FUND COL PAR SAN PEDRO CLAVER,62,51,49,52,58,269
COL SANTA FRANCISCA ROMANA,77,71,70,72,79,365
COLEGIO CANADIENSE - SEDE PRINCIPAL,68,64,69,71,77,343
COLEGIO SAN JOSE - BARRIO CHAMPAGNAT,42,54,31,40,40,208
GIMNASIO CAMPESTRE DE GUILFORD,60,55,48,50,67,272
COL SAN BARTOLOME LA MERCED,59,74,69,55,76,326
INSTITUTO TECNICO SALOMIA,55,50,53,49,59,262
INSTITUTO ANDRES BELLO COLOMBO AMERICANO,42,39,48,43,49,217
COLEGIO ANDINO,65,70,67,61,66,329
COLEGIO LEONÍSTICO LA MERCED,58,69,66,57,59,311
CORP CULT COL ALEMAN,61,65,60,64,86,322
COL LIC FRANCES DE PEREIRA,70,71,69,66,85,351
CORP. EDUC. GIMN. ALTAIR DE C/GENA.,69,46,56,46,81,282
COL DAVID EISENHOWER,55,61,57,56,70,291
COL SAN FRANCISCO JAVIER,59,72,27,40,70,255
COL TECNICO MARIA ELVINIA,59,69,61,57,65,309
COLEGIO COLOMBO BRITÁNICO,100,68,67,60,100,379
COLEGIO PARROQIAL SANTIAGO APOSTOL,56,61,51,59,60,285
HERMANAS BETHLEMITAS PROV. DEL SAGRADO CORAZON DE JESUS,67,71,69,68,76,347
COLEGIO SANTA ISABEL DE HUNGRIA - CIUDAD 2000,66,59,58,60,61,304
COLEGIO LOS ANDES N 2,42,27,35,41,37,182
ASOCIACION COLEGIO GRANADINO,70,76,73,79,100,382
COLEGIO BRITANICO INTERNACIONAL,70,82,73,75,84,378
COLEGIO DE INGLATERRA (THE ENGLISH SCHOOL) - SEDE PRINCIPAL,69,80,79,69,85,375
GIMN VERMONT,70,70,68,71,100,360
LICEO MONTESSORI BILINGUE NACIONAL,74,72,72,68,100,368
COLEGIO SAN MATEO APOSTOL BILINGÜE INTERNACIONAL,67,72,70,71,81,354
COLEGIO DEL SAGRADO CORAZON DE JESUS,74,62,62,58,63,320
COLEGIO PARROQUIAL NUESTRA SEÑORA DE LOS ANDES,59,63,57,39,56,273
COL PARROQ SAN JUAN BAUTISTA,57,45,54,48,63,260
LIC FRANCES LOUIS PASTEUR,77,69,77,72,82,372
COLEGIO SAN MATEO APOSTOL BILINGÜE INTERNACIONAL,71,70,65,74,83,355
FUND NUEVO MARYMOUNT,66,73,60,65,85,337
COL PARROQ SAN JUAN BAUTISTA,58,55,48,52,64,270
COLEGIO PARROQIAL SANTIAGO APOSTOL,55,65,49,63,60,291
AMERICAN SCHOOL,73,60,58,65,81,327
COLEGIO ANA  JULIA  HOLGUIN  DE  HURTADO,73,69,65,57,85,337
COL LOS NOGALES,75,80,80,80,100,402
COLEGIO BILINGUE MONTESSORI,73,55,60,56,81,313
COLEGIO ALBANIA,75,66,69,59,82,342
