codigo,municipio
11001,BOGOTÁ D.C.
8001,BARRANQUILLA
76147,CARTAGO
25799,TENJO
76520,PALMIRA
20001,VALLEDUPAR
25175,CHÍA
76001,CALI
19532,PATÍA
8573,PUERTO COLOMBIA
17001,MANIZALES
63690,SALENTO
25214,COTA
23001,MONTERÍA
25377,LA CALERA
5631,SABANETA
52001,PASTO
5380,LA ESTRELLA
19573,PUERTO TEJADA
25126,CAJICÁ
13001,CARTAGENA DE INDIAS
68276,FLORIDABLANCA
76563,PRADERA
5266,ENVIGADO
44430,MAICAO
66001,PEREIRA
76130,CANDELARIA
76248,EL CERRITO
19001,POPAYÁN
76892,YUMBO
76111,GUADALAJARA DE BUGA
5607,RETIRO
47001,SANTA MARTA
17873,VILLAMARÍA
44035,ALBANIA
76622,ROLDANILLO
25758,SOPÓ
5001,MEDELLÍN
76364,JAMUNDÍ
